"";"Gene";"B1";"B2";"B3";"B4";"Condition"
"208";"ENSMUSG00000028906.18";8222,6340888059;6691,40672918665;7034,35346550278;5891,22485438787;"FLASH"
"209";"ENSMUSG00000026028.13";6816,8052864455;5567,80950926163;5609,41121565077;4432,51697723248;"FLASH"
"210";"ENSMUSG00000025270.14";6541,31409535795;4851,89708603987;4655,23301917409;4001,10788212016;"FLASH"
"211";"ENSMUSG00000051627.4";7418,12659058013;5262,26991436974;4868,47738884123;4210,70315055164;"FLASH"
"212";"ENSMUSG00000028332.14";5122,67174922603;3977,39079684782;4195,31189984964;2799,92961729762;"FLASH"
"213";"ENSMUSG00000020914.18";6488,22941401882;5051,70743695157;4965,1602174615;4251,11838168416;"FLASH"
"214";"ENSMUSG00000022100.15";5581,21356562093;4572,34179687192;4457,34947274569;3379,84118959457;"FLASH"
"215";"ENSMUSG00000049539.4";6090,09430397534;4683,44710410533;3978,45321883221;3403,3384169972;"FLASH"
"216";"ENSMUSG00000039361.12";11536,7656599954;10978,8171736374;10903,4737659887;9944,96652588992;"FLASH"
"217";"ENSMUSG00000044468.15";5078,73959915227;3830,44506792621;3765,20884916507;3293,37139275289;"FLASH"
"218";"ENSMUSG00000121605.1";4030,77476926772;2956,83478927637;2837,234409978;2001,02388560813;"FLASH"
"219";"ENSMUSG00000042744.17";7075,82192125539;5087,54785863977;5319,36272978996;4870,50529601754;"FLASH"
"220";"ENSMUSG00000022742.7";4487,48607940954;3679,91529683578;3733,58362485003;2768,91327712614;"FLASH"
"221";"ENSMUSG00000036698.12";7926,09207580801;7028,30669305572;7475,29945023822;6270,9400492144;"FLASH"
"222";"ENSMUSG00000005161.16";5403,6544590728;4273,07427577546;3941,40652749173;3312,16917467499;"FLASH"
"223";"ENSMUSG00000053641.10";6227,38227295585;5493,44063425862;5403,39546868422;4564,10145068722;"FLASH"
"224";"ENSMUSG00000020649.12";4224,8084320935;3120,80471849988;3174,26894339258;2343,14351659045;"FLASH"
"225";"ENSMUSG00000009575.15";5781,65400033247;4890,42553935468;4920,88490342044;4138,33169015153;"FLASH"
"226";"ENSMUSG00000095217.2";5769,75570968749;3693,35545496885;3242,9408590481;2970,98943278878;"FLASH"
"227";"ENSMUSG00000055447.20";9406,97163454442;9989,62153504312;9153,24349461055;8318,01850053169;"FLASH"
"228";"ENSMUSG00000038664.17";7487,68582819692;6185,16077284085;6388,29531163836;5565,08333803934;"FLASH"
"229";"ENSMUSG00000023216.14";3693,96161870221;2691,6156687837;2628,50792949873;1879,77819221055;"FLASH"
