"";"boot";"cols";"Accuracy";"acc_teste";"mean_acc_test"
"703";176;3;1;0,5;0,5
"704";176;4;1;0,5;0,5
"705";177;1;1;0,25;0,375
"706";177;2;1;0,6;0,375
"707";177;3;1;0,25;0,375
"708";177;4;1;0,5;0,375
"709";178;1;1;0,5;0,5
"710";178;2;1;0,5;0,5
"711";178;3;1;0,55;0,5
"712";178;4;1;0,4;0,5
"713";179;1;1;0,55;0,525
"714";179;2;1;0,55;0,525
"715";179;3;1;0,5;0,525
"716";179;4;1;0,25;0,525
"717";180;1;1;0,45;0,5
"718";180;2;1;0,5;0,5
"719";180;3;1;0,5;0,5
"720";180;4;1;0,5;0,5
"721";181;1;1;0,4;0,45
"722";181;2;1;0,45;0,45
"723";181;3;1;0,5;0,45
"724";181;4;1;0,45;0,45
"725";182;1;1;0,5;0,5
"726";182;2;1;0,5;0,5
"727";182;3;1;0,35;0,5
"728";182;4;1;0,5;0,5
"729";183;1;1;0,7;0,575
"730";183;2;1;0,5;0,575
"731";183;3;1;0,55;0,575
"732";183;4;1;0,6;0,575
"733";184;1;1;0,5;0,5
"734";184;2;1;0,5;0,5
"735";184;3;1;0,5;0,5
"736";184;4;1;0,5;0,5
"737";185;1;1;0,35;0,45
"738";185;2;1;0,5;0,45
"739";185;3;1;0,55;0,45
"740";185;4;1;0,4;0,45
"741";186;1;1;0,7;0,5
"742";186;2;1;0,45;0,5
"743";186;3;1;0,5;0,5
"744";186;4;1;0,5;0,5
"745";187;1;1;0,55;0,525
"746";187;2;1;0,5;0,525
"747";187;3;1;0,55;0,525
"748";187;4;1;0,5;0,525
"749";188;1;1;0,35;0,35
"750";188;2;1;0,5;0,35
"751";188;3;1;0,35;0,35
"752";188;4;1;0,25;0,35
"753";189;1;1;0,55;0,525
"754";189;2;1;0,5;0,525
"755";189;3;1;0,55;0,525
"756";189;4;1;0,5;0,525
"757";190;1;1;0,6;0,525
"758";190;2;1;0,45;0,525
"759";190;3;1;0,5;0,525
"760";190;4;1;0,55;0,525
"761";191;1;1;0,25;0,4
"762";191;2;1;0,4;0,4
"763";191;3;1;0,4;0,4
"764";191;4;1;0,55;0,4
"765";192;1;1;0,5;0,575
"766";192;2;1;0,4;0,575
"767";192;3;1;0,65;0,575
"768";192;4;1;0,7;0,575
"769";193;1;1;0,35;0,375
"770";193;2;1;0,35;0,375
"771";193;3;1;0,4;0,375
"772";193;4;1;0,6;0,375
"773";194;1;1;0,5;0,575
"774";194;2;1;0,55;0,575
"775";194;3;1;0,6;0,575
"776";194;4;1;0,6;0,575
"777";195;1;1;0,3;0,45
"778";195;2;1;0,45;0,45
"779";195;3;1;0,5;0,45
"780";195;4;1;0,45;0,45
"781";196;1;1;0,65;0,55
"782";196;2;1;0,5;0,55
"783";196;3;1;0,5;0,55
"784";196;4;1;0,6;0,55
"785";197;1;1;0,6;0,55
"786";197;2;1;0,5;0,55
"787";197;3;1;0,6;0,55
"788";197;4;1;0,45;0,55
"789";198;1;1;0,55;0,5
"790";198;2;1;0,45;0,5
"791";198;3;1;0,5;0,5
"792";198;4;1;0,5;0,5
"793";199;1;1;0,25;0,525
"794";199;2;1;0,6;0,525
"795";199;3;1;0,65;0,525
"796";199;4;1;0,45;0,525
"797";200;1;1;0,4;0,425
"798";200;2;1;0,55;0,425
"799";200;3;1;0,35;0,425
"800";200;4;1;0,45;0,425
"801";201;1;1;0,35;0,475
"802";201;2;1;0,55;0,475
"803";201;3;1;0,45;0,475
"804";201;4;1;0,5;0,475
"805";202;1;1;0,45;0,5
"806";202;2;1;0,35;0,5
"807";202;3;1;0,6;0,5
"808";202;4;1;0,55;0,5
"809";203;1;1;0,45;0,575
"810";203;2;1;0,55;0,575
"811";203;3;1;0,7;0,575
