"";"Gene";"S1";"S2";"S3";"S4";"Condition"
"206";"ENSMUSG00000064363.1";57626,5507166199;49256,5057273354;48245,7820955772;76874,844837627;"STANDARD"
"207";"ENSMUSG00000060962.14";46008,1732382832;46483,3772628975;51773,6000887954;15365,6073058849;"STANDARD"
"208";"ENSMUSG00000056328.15";29982,3674041199;3497,94545636759;452,722405909357;548,177298280623;"STANDARD"
"209";"ENSMUSG00000030695.17";32971,6689726342;9422,62089508617;5063,46757971996;5696,05101591023;"STANDARD"
"210";"ENSMUSG00000019761.11";75402,2347699373;63128,9401766246;83869,4357295433;41036,3237086696;"STANDARD"
"211";"ENSMUSG00000054889.11";98930,0463161462;86385,1833661442;95094,4837267969;106406,726574791;"STANDARD"
"212";"ENSMUSG00000034994.11";37561,3394483527;29795,1209788293;28006,1483303423;42567,4754791991;"STANDARD"
"213";"ENSMUSG00000027022.15";21831,0135561496;3217,52763753534;457,467923791006;387,988865765982;"STANDARD"
"214";"ENSMUSG00000061816.16";21628,424015105;4272,24794573828;669,118021312571;572,101544695147;"STANDARD"
"215";"ENSMUSG00000057666.19";23095,2076790875;8034,11605512444;5569,33978590379;8817,6450806923;"STANDARD"
"216";"ENSMUSG00000032648.15";20829,5665672303;4051,01866306094;686,201885686509;751,013300490721;"STANDARD"
"217";"ENSMUSG00000041991.19";14330,7771850738;18243,6533899094;22651,3059526891;2455,87590368226;"STANDARD"
"218";"ENSMUSG00000026043.19";18525,884624522;26206,9372624222;22236,547689833;1601,88432514641;"STANDARD"
"219";"ENSMUSG00000049133.9";38957,3494735423;35136,6437908413;40159,4196252466;15410,3352448338;"STANDARD"
"220";"ENSMUSG00000026923.16";16898,0909322857;14213,0111081477;15363,1395900519;34334,4141587226;"STANDARD"
"221";"ENSMUSG00000023092.17";19094,7277463198;2966,21893484486;1492,93992556691;966,33151822144;"STANDARD"
"222";"ENSMUSG00000032262.14";11286,626046495;16619,3647091995;14087,5443834645;3894,45124243387;"STANDARD"
"223";"ENSMUSG00000044322.8";17780,9920762269;16935,6837712732;22204,2781682377;4903,43033035077;"STANDARD"
"224";"ENSMUSG00000026131.22";19115,9598379576;18316,4261802638;15756,0684706525;33113,2374069551;"STANDARD"
"225";"ENSMUSG00000019929.17";12407,5035508773;16334,0953710103;17571,7036121716;1373,04370726835;"STANDARD"
"226";"ENSMUSG00000006457.5";15747,1346314164;3067,13053746961;489,737445386222;528,413790372972;"STANDARD"
"227";"ENSMUSG00000030592.20";15814,3695882696;3197,15125623612;513,46503479447;793,660870186177;"STANDARD"
"228";"ENSMUSG00000043165.8";21079,9283144601;17859,4130568382;22704,4557529636;830,067332121323;"STANDARD"
"229";"ENSMUSG00000059898.10";27161,1532277386;21892,9662502141;27448,0754274604;39137,9867649084;"STANDARD"
